| Rank | Team Name            | Wins | Draws | Losses | Goals Scored | Goals Conceded | Points | Goal Difference |
| 688  | Team 69              |   15 |     3 |     15 |           54 |             58 |     48 |              -4 |
| 689  | Team 582             |   16 |     0 |     17 |           48 |             52 |     48 |              -4 |
| 690  | Team 516             |   15 |     3 |     15 |           31 |             39 |     48 |              -8 |
| 691  | Team 979             |   16 |     0 |     17 |           52 |             61 |     48 |              -9 |
| 692  | Team 185             |   13 |     9 |     11 |           46 |             56 |     48 |             -10 |
| 693  | Team 244             |   14 |     6 |     13 |           32 |             42 |     48 |             -10 |
| 694  | Team 897             |   13 |     9 |     11 |           32 |             42 |     48 |             -10 |
| 695  | Team 493             |   16 |     0 |     17 |           44 |             56 |     48 |             -12 |
| 696  | Team 512             |   13 |     9 |     11 |           32 |             47 |     48 |             -15 |
| 697  | Team 817             |   15 |     3 |     15 |           35 |             51 |     48 |             -16 |
| 698  | Team 72              |   17 |    -3 |     19 |           39 |             59 |     48 |             -20 |
| 699  | Team 569             |   15 |     3 |     15 |           37 |             67 |     48 |             -30 |
| 700  | Team 95              |   13 |     9 |     11 |           30 |             83 |     48 |             -53 |
| 701  | Team 996             |   15 |     2 |     16 |           70 |             46 |     47 |              24 |
| 702  | Team 66              |   13 |     8 |     12 |           63 |             40 |     47 |              23 |
| 703  | Team 907             |   15 |     2 |     16 |           58 |             40 |     47 |              18 |
| 704  | Team 384             |   12 |    11 |     10 |           63 |             46 |     47 |              17 |
| 705  | Team 660             |   11 |    14 |      8 |           47 |             30 |     47 |              17 |
| 706  | Team 574             |   14 |     5 |     14 |           41 |             26 |     47 |              15 |
| 707  | Team 953             |   12 |    11 |     10 |           56 |             42 |     47 |              14 |
| 708  | Team 476             |   13 |     8 |     12 |           53 |             41 |     47 |              12 |
| 709  | Team 81              |   13 |     8 |     12 |           50 |             41 |     47 |               9 |
| 710  | Team 251             |   16 |    -1 |     18 |           48 |             41 |     47 |               7 |
| 711  | Team 78              |   13 |     8 |     12 |           37 |             30 |     47 |               7 |
| 712  | Team 229             |   16 |    -1 |     18 |           40 |             35 |     47 |               5 |
| 713  | Team 946             |   17 |    -4 |     20 |           43 |             40 |     47 |               3 |
| 714  | Team 885             |   15 |     2 |     16 |           53 |             51 |     47 |               2 |
| 715  | Team 640             |   12 |    11 |     10 |           39 |             38 |     47 |               1 |
| 716  | Team 500             |   13 |     8 |     12 |           35 |             34 |     47 |               1 |
| 717  | Team 354             |   13 |     8 |     12 |           32 |             34 |     47 |              -2 |
| 718  | Team 262             |   16 |    -1 |     18 |           43 |             48 |     47 |              -5 |
| 719  | Team 127             |   13 |     8 |     12 |           41 |             46 |     47 |              -5 |
| 720  | Team 481             |   15 |     2 |     16 |           35 |             42 |     47 |              -7 |
| 721  | Team 253             |   15 |     2 |     16 |           39 |             48 |     47 |              -9 |
| 722  | Team 93              |   15 |     2 |     16 |           36 |             47 |     47 |             -11 |
| 723  | Team 721             |   13 |     8 |     12 |           31 |             45 |     47 |             -14 |
| 724  | Team 766             |   12 |    11 |     10 |           31 |             46 |     47 |             -15 |
| 725  | Team 307             |   13 |     8 |     12 |           37 |             56 |     47 |             -19 |
| 726  | Team 406             |   16 |    -1 |     18 |           34 |             74 |     47 |             -40 |
| 727  | Team 559             |   12 |    10 |     11 |           80 |             33 |     46 |              47 |
| 728  | Team 519             |   12 |    10 |     11 |           67 |             26 |     46 |              41 |
| 729  | Team 895             |   14 |     4 |     15 |           58 |             21 |     46 |              37 |
| 730  | Team 133             |   12 |    10 |     11 |           64 |             34 |     46 |              30 |
| 731  | Team 870             |   13 |     7 |     13 |           54 |             26 |     46 |              28 |
| 732  | Team 882             |   16 |    -2 |     19 |           53 |             27 |     46 |              26 |
| 733  | Team 80              |   11 |    13 |      9 |           48 |             23 |     46 |              25 |
| 734  | Team 438             |   14 |     4 |     15 |           66 |             43 |     46 |              23 |
| 735  | Team 143             |   15 |     1 |     17 |           45 |             24 |     46 |              21 |
| 736  | Team 990             |   14 |     4 |     15 |           65 |             47 |     46 |              18 |
| 737  | Team 683             |   16 |    -2 |     19 |           39 |             24 |     46 |              15 |
| 738  | Team 440             |   13 |     7 |     13 |           36 |             23 |     46 |              13 |
| 739  | Team 9               |   14 |     4 |     15 |           43 |             31 |     46 |              12 |
| 740  | Team 611             |   11 |    13 |      9 |           41 |             30 |     46 |              11 |
| 741  | Team 964             |   15 |     1 |     17 |           34 |             23 |     46 |              11 |
| 742  | Team 217             |   14 |     4 |     15 |           32 |             21 |     46 |              11 |
| 743  | Team 102             |   12 |    10 |     11 |           33 |             23 |     46 |              10 |
| 744  | Team 241             |   12 |    10 |     11 |           60 |             52 |     46 |               8 |
| 745  | Team 782             |   13 |     7 |     13 |           34 |             26 |     46 |               8 |
| 746  | Team 734             |   14 |     4 |     15 |           65 |             63 |     46 |               2 |
| 747  | Team 477             |   12 |    10 |     11 |           58 |             57 |     46 |               1 |
| 748  | Team 910             |   14 |     4 |     15 |           43 |             42 |     46 |               1 |
| 749  | Team 382             |   12 |    10 |     11 |           43 |             46 |     46 |              -3 |
| 750  | Team 572             |   11 |    13 |      9 |           39 |             45 |     46 |              -6 |
| 751  | Team 366             |   11 |    13 |      9 |           39 |             48 |     46 |              -9 |
| 752  | Team 367             |   12 |    10 |     11 |           42 |             55 |     46 |             -13 |
| 753  | Team 806             |   15 |     1 |     17 |           35 |             58 |     46 |             -23 |
| 754  | Team 854             |   11 |    13 |      9 |           49 |             77 |     46 |             -28 |
| 755  | Team 773             |   11 |    12 |     10 |           68 |             25 |     45 |              43 |
| 756  | Team 629             |   13 |     6 |     14 |           66 |             28 |     45 |              38 |
| 757  | Team 234             |   12 |     9 |     12 |           60 |             22 |     45 |              38 |
| 758  | Team 371             |   14 |     3 |     16 |           72 |             37 |     45 |              35 |
| 759  | Team 467             |   15 |     0 |     18 |           56 |             25 |     45 |              31 |
| 760  | Team 934             |   14 |     3 |     16 |           65 |             37 |     45 |              28 |
| 761  | Team 202             |   12 |     9 |     12 |           47 |             23 |     45 |              24 |
| 762  | Team 325             |   11 |    12 |     10 |           53 |             33 |     45 |              20 |
| 763  | Team 600             |   12 |     9 |     12 |           43 |             25 |     45 |              18 |
| 764  | Team 609             |   14 |     3 |     16 |           58 |             45 |     45 |              13 |
| 765  | Team 16              |   15 |     0 |     18 |           48 |             35 |     45 |              13 |
| 766  | Team 652             |   15 |     0 |     18 |           52 |             40 |     45 |              12 |
| 767  | Team 685             |   13 |     6 |     14 |           52 |             43 |     45 |               9 |
| 768  | Team 542             |   15 |     0 |     18 |           44 |             36 |     45 |               8 |
| 769  | Team 164             |   13 |     6 |     14 |           58 |             52 |     45 |               6 |
| 770  | Team 178             |   15 |     0 |     18 |           54 |             48 |     45 |               6 |
| 771  | Team 659             |   12 |     9 |     12 |           53 |             47 |     45 |               6 |
| 772  | Team 12              |   13 |     6 |     14 |           42 |             43 |     45 |              -1 |
| 773  | Team 475             |   12 |     9 |     12 |           31 |             36 |     45 |              -5 |
| 774  | Team 255             |   11 |    12 |     10 |           31 |             39 |     45 |              -8 |
| 775  | Team 429             |   12 |     9 |     12 |           54 |             65 |     45 |             -11 |
| 776  | Team 398             |   14 |     3 |     16 |           31 |             46 |     45 |             -15 |
| 777  | Team 801             |   13 |     6 |     14 |           38 |             54 |     45 |             -16 |
| 778  | Team 257             |   10 |    15 |      8 |           40 |             64 |     45 |             -24 |
| 779  | Team 753             |   14 |     3 |     16 |           33 |             71 |     45 |             -38 |
| 780  | Team 905             |   12 |     8 |     13 |           72 |             33 |     44 |              39 |
| 781  | Team 47              |   13 |     5 |     15 |           64 |             34 |     44 |              30 |
| 782  | Team 786             |   12 |     8 |     13 |           46 |             23 |     44 |              23 |
| 783  | Team 189             |   14 |     2 |     17 |           51 |             31 |     44 |              20 |
| 784  | Team 444             |   13 |     5 |     15 |           41 |             23 |     44 |              18 |
| 785  | Team 483             |   12 |     8 |     13 |           43 |             29 |     44 |              14 |
| 786  | Team 272             |   11 |    11 |     11 |           50 |             40 |     44 |              10 |
| 787  | Team 306             |   13 |     5 |     15 |           39 |             30 |     44 |               9 |
| 788  | Team 446             |   11 |    11 |     11 |           46 |             39 |     44 |               7 |
| 789  | Team 71              |   10 |    14 |      9 |           42 |             35 |     44 |               7 |
| 790  | Team 250             |   12 |     8 |     13 |           34 |             28 |     44 |               6 |
| 791  | Team 608             |   15 |    -1 |     19 |           43 |             38 |     44 |               5 |
| 792  | Team 595             |   13 |     5 |     15 |           52 |             49 |     44 |               3 |
| 793  | Team 181             |   12 |     8 |     13 |           40 |             38 |     44 |               2 |
| 794  | Team 902             |   12 |     8 |     13 |           43 |             42 |     44 |               1 |
| 795  | Team 19              |   15 |    -1 |     19 |           43 |             42 |     44 |               1 |
| 796  | Team 958             |   12 |     8 |     13 |           35 |             36 |     44 |              -1 |
| 797  | Team 583             |   13 |     5 |     15 |           59 |             61 |     44 |              -2 |
| 798  | Team 119             |   12 |     8 |     13 |           45 |             47 |     44 |              -2 |
| 799  | Team 222             |   13 |     5 |     15 |           49 |             52 |     44 |              -3 |
| 800  | Team 329             |   11 |    11 |     11 |           45 |             56 |     44 |             -11 |
| 801  | Team 924             |   13 |     5 |     15 |           41 |             53 |     44 |             -12 |
| 802  | Team 20              |   15 |    -1 |     19 |           37 |             50 |     44 |             -13 |
| 803  | Team 224             |   14 |     2 |     17 |           30 |             52 |     44 |             -22 |
| 804  | Team 750             |   13 |     5 |     15 |           39 |             73 |     44 |             -34 |
| 805  | Team 160             |   13 |     5 |     15 |           30 |             68 |     44 |             -38 |
| 806  | Team 994             |   11 |    10 |     12 |           64 |             40 |     43 |              24 |
| 807  | Team 678             |   12 |     7 |     14 |           50 |             29 |     43 |              21 |
| 808  | Team 154             |   11 |    10 |     12 |           49 |             28 |     43 |              21 |
| 809  | Team 55              |   11 |    10 |     12 |           54 |             34 |     43 |              20 |
| 810  | Team 491             |   12 |     7 |     14 |           62 |             45 |     43 |              17 |
| 811  | Team 859             |   10 |    13 |     10 |           57 |             41 |     43 |              16 |
| 812  | Team 23              |   13 |     4 |     16 |           42 |             26 |     43 |              16 |
| 813  | Team 724             |   12 |     7 |     14 |           67 |             63 |     43 |               4 |
| 814  | Team 658             |   13 |     4 |     16 |           44 |             40 |     43 |               4 |
| 815  | Team 434             |   12 |     7 |     14 |           46 |             46 |     43 |               0 |
| 816  | Team 280             |   12 |     7 |     14 |           38 |             39 |     43 |              -1 |
| 817  | Team 925             |   16 |    -5 |     22 |           54 |             56 |     43 |              -2 |
| 818  | Team 275             |   13 |     4 |     16 |           34 |             36 |     43 |              -2 |
| 819  | Team 363             |   12 |     7 |     14 |           57 |             62 |     43 |              -5 |
| 820  | Team 736             |   14 |     1 |     18 |           36 |             43 |     43 |              -7 |
| 821  | Team 288             |   13 |     4 |     16 |           36 |             47 |     43 |             -11 |
| 822  | Team 369             |   12 |     7 |     14 |           45 |             61 |     43 |             -16 |
| 823  | Team 901             |   10 |    13 |     10 |           37 |             58 |     43 |             -21 |
| 824  | Team 545             |   13 |     4 |     16 |           44 |             76 |     43 |             -32 |
| 825  | Team 427             |   14 |     0 |     19 |           64 |             31 |     42 |              33 |
| 826  | Team 99              |   14 |     0 |     19 |           65 |             34 |     42 |              31 |
| 827  | Team 192             |   11 |     9 |     13 |           49 |             35 |     42 |              14 |
| 828  | Team 704             |   14 |     0 |     19 |           48 |             38 |     42 |              10 |
| 829  | Team 579             |   13 |     3 |     17 |           37 |             32 |     42 |               5 |
| 830  | Team 627             |   10 |    12 |     11 |           39 |             36 |     42 |               3 |
| 831  | Team 606             |   13 |     3 |     17 |           39 |             36 |     42 |               3 |
| 832  | Team 447             |   11 |     9 |     13 |           33 |             30 |     42 |               3 |
| 833  | Team 693             |   14 |     0 |     19 |           58 |             57 |     42 |               1 |
| 834  | Team 302             |   16 |    -6 |     23 |           45 |             46 |     42 |              -1 |
| 835  | Team 120             |   12 |     6 |     15 |           30 |             42 |     42 |             -12 |
| 836  | Team 935             |   11 |     9 |     13 |           42 |             55 |     42 |             -13 |
| 837  | Team 471             |   14 |     0 |     19 |           36 |             51 |     42 |             -15 |
| 838  | Team 94              |   12 |     6 |     15 |           47 |             63 |     42 |             -16 |
| 839  | Team 182             |   14 |     0 |     19 |           37 |             58 |     42 |             -21 |
| 840  | Team 603             |    9 |    15 |      9 |           35 |             56 |     42 |             -21 |
| 841  | Team 581             |   11 |     8 |     14 |           60 |             21 |     41 |              39 |
| 842  | Team 295             |   13 |     2 |     18 |           78 |             43 |     41 |              35 |
| 843  | Team 49              |   12 |     5 |     16 |           65 |             49 |     41 |              16 |
| 844  | Team 73              |   11 |     8 |     14 |           39 |             32 |     41 |               7 |
| 845  | Team 360             |   12 |     5 |     16 |           48 |             42 |     41 |               6 |
| 846  | Team 158             |   14 |    -1 |     20 |           53 |             49 |     41 |               4 |
| 847  | Team 351             |   12 |     5 |     16 |           38 |             42 |     41 |              -4 |
| 848  | Team 955             |   13 |     2 |     18 |           34 |             38 |     41 |              -4 |
| 849  | Team 601             |   12 |     5 |     16 |           30 |             48 |     41 |             -18 |
| 850  | Team 193             |   14 |    -1 |     20 |           30 |             55 |     41 |             -25 |
| 851  | Team 626             |   17 |   -10 |     26 |           47 |             78 |     41 |             -31 |
| 852  | Team 941             |   10 |    10 |     13 |           73 |             30 |     40 |              43 |
| 853  | Team 356             |   11 |     7 |     15 |           60 |             28 |     40 |              32 |
| 854  | Team 593             |   13 |     1 |     19 |           45 |             20 |     40 |              25 |
| 855  | Team 79              |   11 |     7 |     15 |           58 |             37 |     40 |              21 |
| 856  | Team 787             |   10 |    10 |     13 |           39 |             25 |     40 |              14 |
| 857  | Team 850             |   12 |     4 |     17 |           42 |             29 |     40 |              13 |
| 858  | Team 837             |   14 |    -2 |     21 |           39 |             28 |     40 |              11 |
| 859  | Team 613             |   12 |     4 |     17 |           43 |             38 |     40 |               5 |
| 860  | Team 634             |    8 |    16 |      9 |           43 |             39 |     40 |               4 |
| 861  | Team 423             |   11 |     7 |     15 |           40 |             39 |     40 |               1 |
| 862  | Team 448             |   12 |     4 |     17 |           36 |             38 |     40 |              -2 |
| 863  | Team 797             |   12 |     4 |     17 |           52 |             55 |     40 |              -3 |
| 864  | Team 347             |   12 |     4 |     17 |           46 |             52 |     40 |              -6 |
| 865  | Team 552             |   13 |     1 |     19 |           35 |             41 |     40 |              -6 |
| 866  | Team 520             |   11 |     7 |     15 |           34 |             45 |     40 |             -11 |
| 867  | Team 556             |   12 |     4 |     17 |           31 |             42 |     40 |             -11 |
| 868  | Team 858             |   12 |     4 |     17 |           42 |             59 |     40 |             -17 |
| 869  | Team 630             |   13 |     1 |     19 |           34 |             51 |     40 |             -17 |
| 870  | Team 589             |   11 |     6 |     16 |           54 |             28 |     39 |              26 |
| 871  | Team 737             |   10 |     9 |     14 |           65 |             40 |     39 |              25 |
| 872  | Team 874             |   13 |     0 |     20 |           52 |             29 |     39 |              23 |
| 873  | Team 110             |   13 |     0 |     20 |           71 |             49 |     39 |              22 |
| 874  | Team 346             |   12 |     3 |     18 |           53 |             44 |     39 |               9 |
| 875  | Team 267             |   12 |     3 |     18 |           49 |             46 |     39 |               3 |
| 876  | Team 455             |   12 |     3 |     18 |           36 |             33 |     39 |               3 |
| 877  | Team 370             |   10 |     9 |     14 |           34 |             33 |     39 |               1 |
| 878  | Team 758             |   11 |     6 |     16 |           52 |             58 |     39 |              -6 |
| 879  | Team 297             |   12 |     3 |     18 |           41 |             48 |     39 |              -7 |
| 880  | Team 748             |   12 |     3 |     18 |           38 |             51 |     39 |             -13 |
| 881  | Team 729             |   10 |     9 |     14 |           36 |             49 |     39 |             -13 |
| 882  | Team 920             |    9 |    12 |     12 |           38 |             57 |     39 |             -19 |
| 883  | Team 864             |    9 |    12 |     12 |           40 |             61 |     39 |             -21 |
| 884  | Team 620             |    9 |    12 |     12 |           52 |             77 |     39 |             -25 |
| 885  | Team 85              |   16 |    -9 |     26 |           42 |             78 |     39 |             -36 |
| 886  | Team 533             |    9 |    11 |     13 |           76 |             22 |     38 |              54 |
| 887  | Team 594             |    9 |    11 |     13 |           70 |             36 |     38 |              34 |
| 888  | Team 592             |   10 |     8 |     15 |           50 |             26 |     38 |              24 |
| 889  | Team 464             |   11 |     5 |     17 |           47 |             26 |     38 |              21 |
| 890  | Team 504             |   10 |     8 |     15 |           42 |             23 |     38 |              19 |
| 891  | Team 938             |   10 |     8 |     15 |           69 |             53 |     38 |              16 |
| 892  | Team 65              |   10 |     8 |     15 |           48 |             33 |     38 |              15 |
| 893  | Team 13              |   12 |     2 |     19 |           43 |             38 |     38 |               5 |
| 894  | Team 422             |   12 |     2 |     19 |           37 |             33 |     38 |               4 |
| 895  | Team 89              |   10 |     8 |     15 |           42 |             39 |     38 |               3 |
| 896  | Team 765             |   12 |     2 |     19 |           56 |             62 |     38 |              -6 |
| 897  | Team 649             |   11 |     5 |     17 |           36 |             45 |     38 |              -9 |
| 898  | Team 541             |   11 |     5 |     17 |           37 |             50 |     38 |             -13 |
| 899  | Team 334             |   10 |     7 |     16 |           65 |             29 |     37 |              36 |
| 900  | Team 943             |   13 |    -2 |     22 |           58 |             32 |     37 |              26 |
| 901  | Team 798             |    9 |    10 |     14 |           48 |             32 |     37 |              16 |
| 902  | Team 494             |   12 |     1 |     20 |           52 |             42 |     37 |              10 |
| 903  | Team 312             |   11 |     4 |     18 |           49 |             39 |     37 |              10 |
| 904  | Team 706             |   10 |     7 |     16 |           45 |             40 |     37 |               5 |
| 905  | Team 550             |    9 |    10 |     14 |           36 |             37 |     37 |              -1 |
| 906  | Team 0               |   12 |     1 |     20 |           33 |             35 |     37 |              -2 |
| 907  | Team 373             |   11 |     4 |     18 |           31 |             41 |     37 |             -10 |
| 908  | Team 927             |   10 |     7 |     16 |           33 |             44 |     37 |             -11 |
| 909  | Team 7               |   10 |     6 |     17 |           84 |             28 |     36 |              56 |
| 910  | Team 501             |    8 |    12 |     13 |           55 |             37 |     36 |              18 |
| 911  | Team 823             |   11 |     3 |     19 |           42 |             24 |     36 |              18 |
| 912  | Team 896             |   11 |     3 |     19 |           54 |             43 |     36 |              11 |
| 913  | Team 439             |   10 |     6 |     17 |           47 |             36 |     36 |              11 |
| 914  | Team 284             |   12 |     0 |     21 |           48 |             39 |     36 |               9 |
| 915  | Team 309             |   12 |     0 |     21 |           33 |             40 |     36 |              -7 |
| 916  | Team 827             |   12 |     0 |     21 |           38 |             46 |     36 |              -8 |
| 917  | Team 558             |   13 |    -3 |     23 |           31 |             39 |     36 |              -8 |
| 918  | Team 144             |    9 |     9 |     15 |           43 |             56 |     36 |             -13 |
| 919  | Team 214             |    8 |    11 |     14 |           67 |             22 |     35 |              45 |
| 920  | Team 431             |   11 |     2 |     20 |           70 |             30 |     35 |              40 |
| 921  | Team 480             |   11 |     2 |     20 |           69 |             31 |     35 |              38 |
| 922  | Team 756             |    9 |     8 |     16 |           41 |             20 |     35 |              21 |
| 923  | Team 195             |   10 |     5 |     18 |           41 |             27 |     35 |              14 |
| 924  | Team 206             |    9 |     8 |     16 |           43 |             32 |     35 |              11 |
| 925  | Team 904             |   11 |     2 |     20 |           45 |             38 |     35 |               7 |
| 926  | Team 478             |   11 |     2 |     20 |           39 |             38 |     35 |               1 |
| 927  | Team 425             |   11 |     2 |     20 |           46 |             46 |     35 |               0 |
| 928  | Team 141             |   10 |     5 |     18 |           39 |             58 |     35 |             -19 |
| 929  | Team 492             |   10 |     4 |     19 |           73 |             29 |     34 |              44 |
| 930  | Team 245             |   12 |    -2 |     23 |           46 |             27 |     34 |              19 |
| 931  | Team 717             |   11 |     1 |     21 |           49 |             32 |     34 |              17 |
| 932  | Team 212             |    9 |     7 |     17 |           45 |             28 |     34 |              17 |
| 933  | Team 876             |    9 |     7 |     17 |           49 |             36 |     34 |              13 |
| 934  | Team 631             |    9 |     7 |     17 |           44 |             43 |     34 |               1 |
| 935  | Team 177             |    9 |     7 |     17 |           39 |             40 |     34 |              -1 |
| 936  | Team 131             |   10 |     4 |     19 |           61 |             66 |     34 |              -5 |
| 937  | Team 235             |    8 |    10 |     15 |           40 |             51 |     34 |             -11 |
| 938  | Team 428             |   12 |    -3 |     24 |           53 |             27 |     33 |              26 |
| 939  | Team 530             |   11 |     0 |     22 |           62 |             38 |     33 |              24 |
| 940  | Team 792             |   10 |     3 |     20 |           67 |             44 |     33 |              23 |
| 941  | Team 352             |   10 |     3 |     20 |           45 |             25 |     33 |              20 |
| 942  | Team 549             |   10 |     3 |     20 |           56 |             47 |     33 |               9 |
| 943  | Team 711             |    8 |     9 |     16 |           51 |             46 |     33 |               5 |
| 944  | Team 400             |    7 |    12 |     14 |           39 |             42 |     33 |              -3 |
| 945  | Team 308             |    8 |     9 |     16 |           35 |             39 |     33 |              -4 |
| 946  | Team 107             |   10 |     3 |     20 |           48 |             53 |     33 |              -5 |
| 947  | Team 298             |   10 |     3 |     20 |           36 |             41 |     33 |              -5 |
| 948  | Team 983             |   11 |     0 |     22 |           46 |             60 |     33 |             -14 |
| 949  | Team 77              |   11 |     0 |     22 |           41 |             55 |     33 |             -14 |
| 950  | Team 695             |   15 |   -12 |     30 |           30 |             52 |     33 |             -22 |
| 951  | Team 301             |    8 |     8 |     17 |           34 |             25 |     32 |               9 |
| 952  | Team 602             |   10 |     2 |     21 |           45 |             39 |     32 |               6 |
| 953  | Team 754             |   10 |     2 |     21 |           34 |             49 |     32 |             -15 |
| 954  | Team 353             |   11 |    -1 |     23 |           43 |             61 |     32 |             -18 |
| 955  | Team 165             |    8 |     7 |     18 |           54 |             34 |     31 |              20 |
| 956  | Team 790             |    7 |    10 |     16 |           42 |             22 |     31 |              20 |
| 957  | Team 282             |   10 |     1 |     22 |           39 |             30 |     31 |               9 |
| 958  | Team 699             |    8 |     7 |     18 |           33 |             24 |     31 |               9 |
| 959  | Team 139             |   11 |    -2 |     24 |           41 |             45 |     31 |              -4 |
| 960  | Team 285             |    9 |     4 |     20 |           48 |             53 |     31 |              -5 |
| 961  | Team 936             |   10 |     0 |     23 |           62 |             24 |     30 |              38 |
| 962  | Team 359             |    9 |     3 |     21 |           65 |             28 |     30 |              37 |
| 963  | Team 940             |    8 |     6 |     19 |           42 |             25 |     30 |              17 |
| 964  | Team 187             |   11 |    -3 |     25 |           48 |             35 |     30 |              13 |
| 965  | Team 56              |   10 |     0 |     23 |           49 |             37 |     30 |              12 |
| 966  | Team 580             |   10 |     0 |     23 |           54 |             43 |     30 |              11 |
| 967  | Team 681             |    6 |    12 |     15 |           39 |             42 |     30 |              -3 |
| 968  | Team 14              |   10 |     0 |     23 |           47 |             66 |     30 |             -19 |
| 969  | Team 374             |    7 |     9 |     17 |           34 |             54 |     30 |             -20 |
| 970  | Team 87              |   11 |    -3 |     25 |           32 |             66 |     30 |             -34 |
| 971  | Team 752             |    7 |     8 |     18 |           61 |             37 |     29 |              24 |
| 972  | Team 956             |    9 |     2 |     22 |           60 |             41 |     29 |              19 |
| 973  | Team 793             |    6 |    11 |     16 |           50 |             36 |     29 |              14 |
| 974  | Team 735             |    8 |     5 |     20 |           40 |             28 |     29 |              12 |
| 975  | Team 840             |   10 |    -1 |     24 |           71 |             65 |     29 |               6 |
| 976  | Team 51              |    9 |     2 |     22 |           40 |             46 |     29 |              -6 |
| 977  | Team 617             |    9 |     2 |     22 |           39 |             55 |     29 |             -16 |
| 978  | Team 68              |    6 |    10 |     17 |           48 |             26 |     28 |              22 |
| 979  | Team 148             |    8 |     4 |     21 |           46 |             24 |     28 |              22 |
| 980  | Team 524             |    9 |     1 |     23 |           36 |             26 |     28 |              10 |
| 981  | Team 781             |   10 |    -2 |     25 |           61 |             59 |     28 |               2 |
| 982  | Team 260             |   10 |    -2 |     25 |           52 |             53 |     28 |              -1 |
| 983  | Team 794             |    8 |     4 |     21 |           38 |             39 |     28 |              -1 |
| 984  | Team 111             |    8 |     4 |     21 |           39 |             59 |     28 |             -20 |
| 985  | Team 376             |    6 |     9 |     18 |           38 |             22 |     27 |              16 |
| 986  | Team 804             |    8 |     3 |     22 |           45 |             39 |     27 |               6 |
| 987  | Team 710             |    8 |     3 |     22 |           41 |             41 |     27 |               0 |
| 988  | Team 841             |    7 |     6 |     20 |           55 |             57 |     27 |              -2 |
| 989  | Team 855             |    6 |     9 |     18 |           37 |             50 |     27 |             -13 |
| 990  | Team 41              |    6 |     9 |     18 |           42 |             58 |     27 |             -16 |
| 991  | Team 470             |    9 |     0 |     24 |           30 |             46 |     27 |             -16 |
| 992  | Team 687             |    8 |     1 |     24 |           59 |             29 |     25 |              30 |
| 993  | Team 696             |    7 |     4 |     22 |           52 |             26 |     25 |              26 |
| 994  | Team 420             |    8 |     0 |     25 |           41 |             20 |     24 |              21 |
| 995  | Team 96              |    7 |     1 |     25 |           56 |             38 |     22 |              18 |
| 996  | Team 564             |    6 |     4 |     23 |           35 |             27 |     22 |               8 |
| 997  | Team 117             |    6 |     4 |     23 |           36 |             48 |     22 |             -12 |
| 998  | Team 772             |    6 |     3 |     24 |           41 |             74 |     21 |             -33 |
| 999  | Team 667             |    6 |     1 |     26 |           54 |             39 |     19 |              15 |
| 1000 | Team 868             |    6 |    -1 |     28 |           53 |             37 |     17 |              16 |
